name,price,rating,ratingNumber,img,FirstCategory,SecondCategory,GetItByTomorrow
"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",2.49,4.5,"1,07,687",https://m.media-amazon.com/images/I/4101vlzySzL._SY300_SX300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),238.14,4.3,"27,151",https://m.media-amazon.com/images/I/41nsy8kxWUL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",4.75,4.2,"24,269",https://m.media-amazon.com/images/I/41rB0DnVFmL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
"TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop Laptop, Mini Travel Size, Supports Windows 11,10, 8.1, 8, 7, XP/Mac OS 10.9-10.15",11.9,4.3,"12,093",https://m.media-amazon.com/images/I/31EHCPHbSlL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,NetworkingDevices,False
"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",0.7,4.0,"9,378",https://m.media-amazon.com/images/I/31v7NnnAItL._SY445_SX342_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C Usb Devices, 3 In 1 Charging Cable, 3A, (3 Feet) (Black)",3.97,3.3,"9,792",https://m.media-amazon.com/images/I/41CnR1WhD3L._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),6.04,4.1,"8,131",https://m.media-amazon.com/images/I/31+NwZ8gb1L._SX300_SY300_.jpg,Computers&Accessories,NetworkingDevices,False
"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",3.68,4.4,"4,26,973",https://m.media-amazon.com/images/I/41bCxnHksnL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,4.75,3.6,493,https://m.media-amazon.com/images/I/21rBnbHkW9L._SX300_SY300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",2.37,4.2,"92,595",https://m.media-amazon.com/images/I/31nrDWDT8+L._SX300_SY300_.jpg,Computers&Accessories,Accessories&Peripherals,False
"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",14.28,4.4,"24,780",https://m.media-amazon.com/images/I/216Q4FqmZVL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,NetworkingDevices,True
"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",2.13,4.2,"92,595",https://m.media-amazon.com/images/I/31iESA2h2gL._SY300_SX300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",9.51,4.3,"8,188",https://m.media-amazon.com/images/I/31kw1RgU5yL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),83.34,4.2,"4,003",https://m.media-amazon.com/images/I/418GxB04szL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports QC 2.0/3.0 Charging",2.37,4.1,314,https://m.media-amazon.com/images/I/41rbKciLrcL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
Tata Sky Universal Remote,2.74,3.7,"2,960",https://m.media-amazon.com/images/I/315GdnF+LcL._SY300_SX300_.jpg,Electronics,"HomeTheater,TV&Video",True
"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",7.73,4.2,"1,79,691",https://m.media-amazon.com/images/I/41jxZkzNcnL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,NetworkingDevices,False
OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),190.51,4.2,"34,899",https://m.media-amazon.com/images/I/512YHGuR4RL._SX300_SY300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C cable, Micro Usb Cable and Cable for iPhone, White",4.14,4.2,656,https://m.media-amazon.com/images/I/313uqx3djjL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)",1.83,4.3,"7,064",https://m.media-amazon.com/images/I/31pQZsxPR4L._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",2.13,3.7,"2,201",https://m.media-amazon.com/images/I/41v00lhhdbL._SX300_SY300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),392.83,4.3,"7,109",https://m.media-amazon.com/images/I/41Tz1YnJkoL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,1.66,4.0,"1,313",https://m.media-amazon.com/images/I/310WOJIrwjL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,3.92,4.2,"29,746",https://m.media-amazon.com/images/I/414y0iu5NUL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),166.69,4.2,"45,238",https://m.media-amazon.com/images/I/41611VFTGwL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",False
"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",3.68,4.4,"4,26,973",https://m.media-amazon.com/images/I/41eJqkFjCRL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",3.13,4.1,450,https://m.media-amazon.com/images/I/41x3iKbD-+L._SX342_SY445_.jpg,Computers&Accessories,Accessories&Peripherals,True
Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),95.25,4.3,457,https://m.media-amazon.com/images/I/51FicDnawaL._SY300_SX300_QL70_FMwebp_.jpg,Electronics,"HomeTheater,TV&Video",True
"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's",19.04,4.2,"2,727",https://m.media-amazon.com/images/I/41+mgWz7knL._SX300_SY300_.jpg,Electronics,"HomeTheater,TV&Video",True
"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",2.61,4.3,"20,053",https://m.media-amazon.com/images/I/31-BRsjrvDL._SY300_SX300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,True
"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",4.16,4.5,149,https://m.media-amazon.com/images/I/41gztmbiIgL._SX300_SY300_QL70_FMwebp_.jpg,Computers&Accessories,Accessories&Peripherals,False
